2026-01-29 09:19:05,987 | INFO     | Launcher        | [Flask] Started with PID 5892
2026-01-29 09:19:10,991 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:19:11,492 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:19:11,492 | INFO     | Launcher        | [Camera] Started with PID 20832
2026-01-29 09:19:11,492 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:19:11,997 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:19:12,001 | INFO     | Launcher        | [Manager] Started with PID 16528
2026-01-29 09:19:12,002 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:19:12,503 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:19:12,505 | INFO     | Launcher        | [Flask] Started with PID 18648
2026-01-29 09:19:14,529 | INFO     | Launcher        | ============================================================
2026-01-29 09:19:14,529 | INFO     | Launcher        | Stopping all services...
2026-01-29 09:19:14,529 | INFO     | Launcher        | ============================================================
2026-01-29 09:19:14,529 | INFO     | Launcher        | All services stopped
2026-01-29 09:53:09,942 | INFO     | Launcher        | ============================================================
2026-01-29 09:53:09,942 | INFO     | Launcher        | Starting all services...
2026-01-29 09:53:09,942 | INFO     | Launcher        | ============================================================
2026-01-29 09:53:09,942 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:53:09,953 | INFO     | Launcher        | [Camera] Started with PID 11640
2026-01-29 09:53:10,962 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:53:10,966 | INFO     | Launcher        | [Manager] Started with PID 4940
